Brand,Perusahaan,Bidang Bisnis,Konsep Bisnis,Kisaran Investasi,Alamat,Telepon,Kisaran Investasi ,Bidang Usaha,Konsep Usaha,Investasi
Mini Cafe Ellina Resto,CV Ellino Group,F&B,BO,55jt,Deni Kerto RT01/07 Saroharjo ngalik Sleman Jogyakarta,0274-7145900,,,,
Pulsa Box,PT Solusi Layanan Mandiri,Jasa,BO,n/a,Jl.Radio II no.6 Kebayoran Baru Jakarta,021-7203260,,,,
Kidzwear,Kidzwear,Grosir Baju Anak,BO,Rp. 2-7jt,ITC Kuningan Lt.4 Blok C6 No.3 Jl. Dr Satrio Casablanca Jakarta Selatan,021-26141136,,,,
Bakso Malang Kota Cak Eko,Bakso Malang Kota Cak Eko,F&B,Franchise,60-120jt,n/a,021-93846527/021-84307897,,,,
Balon Udara,Balon Udara Franchise Shop,F&B,Franchise,n/a,Jl. Dr Makaliwe I/9 grogol Jakarta Barat 11450,021-5636838,,,,
Warung Bandeng Kapasan Surabaya,Warung Bandeng Kapasan Surabaya,Traditional Food,Franchise,35-125jt,Jl. Kapasari Gembong DKA2/1 Surabaya,031-70130279,,,,
Bandeng Segar Cabut Duri Minahasa,CV Tiara Raya,F&B,BO,15jt,"Jl. Bukit Kelapa Sawit II AH-44 Bukit Kencana Jaya, Semarang",024-70544643,,,,
Global Phone,PT Global Media Inforindo,IT dan Komunikasi,Franchise,110jt,Jl.Rukan Plais De Paris Jl. Boulevard Raya Blok H No.16 Cikarang,021-89971827,,,,
Raja Bebek Bakar,Raja Bebek Bakar,"Resto, Rumah Makan dan Warung Kaki Lima",Franchise,10-15jt,Jl. H. Mencong Gg. Ahmad Mo.79 RT02/13 Penggilingan Timur Ciledug Tangerang Banten,021-71097816,,,,
Anis Bakery,CV. Netsia,F&B,Franchise,60jt,Jl. Langsep Raya no.32 Jember Jawa Timur,0331-427085,,,,
Kidea Children Education Center,Yayasan Kasih Kibar Kreasi Indonesia,Pendidikan,Franchise,125jt,Jl.Dewi Sartika No.294 Jakarta,021-8097788,,,,
Little Baghdad,PT Little Baghdad Internusa,F&B,BO,n/a,Jl. Kemang 1/72 Jakarta,021-7181944,,,,
Inpra Perkasa,Inpra Perkasa,Jasa Expedisi,BO,400jt,Graha Candimas Jl. Kalasan 3F.15 Candi Sidoarjo,031-47869376,,,,
The Ivy League,The Ivy League,Pendidikan,Perorangan,60jt,Caveworth Hotel Building Lt.4 Jl. Fatmawati No.74,021-7236134,,,,
Beanstock Coffee and Tea,PT Adi Tata Nusindo,Kedai Kopi,BO,195jt,Bina Sentra Abiyasa Lt.4 Suite 404 & 405 Jl. Gatot Subroto Kav 71-73 Pancoran,021-8305611,,,,
Martabak Alim,Martabak Alim,F&B,Franchise,125jt,Villa Nusa Indah Blok T6 No.1 Bekasi,021-82400147,,,,
Mr Tacoz,CV Wirafood Nusantara,Kuliner Mexico,BO,25-35jt,Unimas Garden Regency Blok D No.10 Sidoarjo,031-8534179,,,,
ILP,PT Intisari Langkah Positif,Pendidikan,Franchise,"700jt-1,2M",Jl.Raya Pasar Minggu No.39ª Jakarta Selatan,021-79192906/021-7905210,,,,
Ayam Goreng Fatmawati,PT Ayam Goreng Fatmawati Indonesia,Fast Food Ayam Goreng,Franchise,Rp. 115jt -Rp. 200jt,Kinanti Investor Office Hotel Salak The Heritage Jl Ir H. Juanda no.8 - Bogor,0251-8347620,,,,
Panangian School of Property (PSP),Panangian Simanungkalit & Associates,Pelatihan & Pendidikan Property,Franchise,400jt,Graha Mandiri LT.26 Jl. Imam Bonjol Kav 61 Jakarta,021-3908308,,,,
Wow Crackers,Wow Food Industry,F&B,BO,"26,5jt",Jl. Janur Asri II Blok QJ 13/16 Kepala Gading Jakarta,021-27225757/021-45854585,,,,
MK Express,PT Megantara Kargo,Jasa Kurir,Franchise,25jt,Jl.Pintu I Senayan Blok B 2nd F1 Room 23. Jakarta,021-70919914,,,,
Rangu,Rangu Quality Food,makanan,Franchise,5jt,Komp. Buana Jaya No.16 RT013/12 Jatimekar Kec. Jatiasih Bekasi,021-99296972,,,,
Um 1,PT Umi Indonesia,Salon Mobil & Motor,Franchise,60-200jt,Ruko Central Onderdil 2 Blok FB No.77-88 Harapan Indonesia Bekasi,021-88980122,,,,
Star Bandrek,PT Liza Herbal International,F&B,Agen,n/a,Jl. Arzimar 3 No.43 Bogor,0251-8350056,,,,
LPIA,LPIA Group,Pendidikan,Franchise,355jt,Jl.Graha LPIA Perkantoran Mall Klender Blok B3 No.16-18 Jl. I Gusti Ngurah Rai Klender Jakarta Timur,021-8604218/021-8608154,,,,
Rumah Snack,Fread & Snack,F&B,BO,250jt,Taman Ratu Indah Blok E No.20 Jakarta,021-5662145,,,,
3D Photo Printing & Painting,PT Gambar Ajaib Indonesia,Photography,BO,35-59jt,Jl.Kelapa Nias Raya Blok GN NO.1-2 Kelapa Gading Jakarta Utara,021-4514539,,,,
Lick Me,PT Synergy Kinetics Indonesia,F&B,Franchise,n/a,Sampoerna Strategic Square Tower B19/7 Jl. Jend. Sudirman kav 45-47 Jakarta,021-5750420/6245094,,,,
Yomart,PT Mitra Yomart Sejati,Retail Minimarket,Franchise,150-450jt,Jl.Jakarta 53 Bandung,022-7230927,,,,
Beef Rush,PT Konsep Citra Rasa Nusantara,F&B,BO,3 Milyar,Taman Duta Mas Blok B8 No.5 Jelambar - Jakarta,021-5675255,,,,
Dressed Laundry,PT Pro Teknologi,Laundry & Cleaning Service,Franchise,please call,"Jl. Senayan Bintaro Blok HJ3 No.2, Sektor IX, Bintaro Jaya, Tangerang - Jakarta",081283066111; 021-91371181 (cp. Dedi Setiadi),,,,
Pota-Potatos,CV Pioni Adya Group,Kentang,Franchise,5jt,Jl. Jinggakartika Kulon No.18 Bandung,022-92699771,,,,
I Can Read,PT Bina Literasi Indonesia,Pendidikan,Franchise,300jt,Ruko Sentra Niaga Blok T2 No.15 Jakarta,021-55794630,,,,
Orchi Chicken,Orchi,F&B,Kemitraan,8-40jt,Jl. Raya Pulo Gebang No.43 Jakarta,021-93489359,,,,
Kinclong Helm,Kinclong Helm,Jasa Laundry Helm,BO,"5-7,5jt",Jl.Nusa Indah Raya A1/56 Taman Cibodas Tangerang,021-93565176,,,,
Warna Warni Children Center,Warna Warni Children Center,Pendidikan,BO,50jt,Jl.Colombo 8 Yogyakarta,0274-551214,,,,
Indo Waffle,UD Suka Cita,F&B,BO,250jt,Jl. Baru Teluk Buyung No.19 Bekasi,021-88962687,,,,
Sanggar Kreativitas Bobo,PT Penerbitan Sarana Bobo,Pendidikan,Franchise,150jt,Ged. Gramedia Jl. Panjang No.8ª Kebon Jeruk Jakarta,021-5330170,,,,
Top Voucher Hotel,Top Tours & Travel,Jasa,Franchise,,Jl.Rajawali 185 Rewin-Waru Sidoarjo,031-8662785/031-71375051,"Rp. 7,5jt",,,
SCUA,Sekolah Catur Utut Adianto,Jasa Pendidikan Kursus Catur,Lisensi,50-75jt,Jl.Siliwangi No.15 Rawa Panjang Bekasi,021-82412452,,,,
CSC Washer,Lion Fortuna,Salon Motor & Helm,Franchise,50-75jt,Ruko Arjuna Square No.7 Jl. Arjuna Utara samping Univ Esa Unggul Pinggir tol Tomang Kebon Jeruk Jakarta,021-95421542,,,,
Rice bowl,PT Ricebowl Indonesia,F&B,Franchise,"1,3M",Ruko Mediterania Kebon Jeruk Jl. Meruya Ilir No.10 jakarta,021-58902665,,,,
Edutimes,PT Forlearn & Edumedia,Pendidikan,Lisensi,n/a,Jl.Komp. Aries Niaga Blok A1-1K Jl. Taman Aries Meruya Utara Jakarta,021-5858863,,,,
Preztissimo Laundry Lab,Preztissimo Laundry Lab,Jasa Peralatan Pakaian,Franchise,175-280jt,Jl.Perumnas Blok A/6C Seturan,0274-8222252,,,,
Klinik Herbal,PT Mahkota Dewa,Herbal & Spa,BO,50jt,Jl.Gaharu AA1 Nyiur Melambai II Rawa Badak Utara KOja,021-4302762/43912313,,,,
Global Art Indonesia,PT Global Indonesia astistika Tunggal,Pendidikan Kreativitas Lukis Anak,Franchise,350-500jt,Karawaci Office Park Blok M Mo.17,021-55794630,,,,
Bornis Studio,CV Borneo Perkasa Kreasindo,Foto Studio,Kemitraan,140jt,Jl.Jend.Sudirman No.4 Tarakan Kalimantan,0551-23906,,,,
Crepes & Coins,PT Bogasari Flour Mills,F&B,BO,"8,5-38jt",Jl. Cilincing No.1 Jakarta,021-43920126/021-43920174 ext 430,,,,
Soyanatura,CV Soyanatura,n/a,BO,n/a,Jl. Paingan III/999 Manguwoharjo Depok Sleman Yogyakarta,0274-9210111/7420911,,,,
TaboeBoe Tahu Bulat Bumbu,CV Sakura Kreasi Mandiri,Perdagangan Umum,BO,2-5jt,Pl. Paledang No.77A Bandung,022-91686130/022-91313745,,,,
Miki Ojisan No Mise,PT Kurnia Mitra Duta Sentusa,F&B,Franchise,n/a,Kawasan Bangunan Multiguna Blok D5 JL MH Thamrin KM7 Paku Alam Serpong Tangerang,021-5398003,,,,
Goodel Coffee & Burger,CV Citra Muda Berlian,F&B,BO,7jt,Jl.Gempol Kramat Watu No.54 Serang Banten,0254-230411,,,,
Super Tela,Genta Group,F&B,Franchise,"4-4,3jt",JL. Empat No.38 RT35 Kelurahan Gunung Samarinda Balikpapan,0542-5617789,,,,
Siomay Menteng,Siomay Menteng,F&B,BO,5-6jt,Pertokoan Pulo Mas Blok 5 No.3 Jl. Perintis Kemerdekaan Jaktim,021-32324267,,,,
Mesin Laundry Com,CV Mandiri Lintas Cakrawala,Mesin Laundry,BO,39jt,Jl.Damai II No.3 Mampang Pancoran Mas Depok,021-77200069,,,,
Citra,CV Citra Asri Karya Mandiri,Retail Counter HP,BO,Rp. 2 jt,Jl.KH Hasyim Ashari No.1 Laterban Nganjuk Jawa Timur,0358-554146,,,,
E.nopi Math & English,PT Daekyo Indonesia,Bimbel,Franchise,400-500jt,Menara Global Jl. Gatot Subroto Kav.27 Jakarta,021-52920911,,,,
Bakso Buntut,CV HWK Media Utama,F&B,BO,Rp. 12jt,Kadin Bandung Business Center Jl. Telaga Bodas No.31 Bandung,022-91930550,,,,
Ayam Goreng Bakar Chichi,Ayam Goreng Bakar Chichi,Makanan,BO,125jt,Jl Duku 1 BC.38 Pondok Chandra Sidoarjo - Surabaya,031-8670276,,,,
Anis Bakery,CV. Netsia,F&B,Franchise,60jt,Jl. Langsep Raya no.32 Jember Jawa Timur,0331-427085,,,,
Teh Mesir Mummy,The Mesir the mummy,Minuman,Franchise,"3,5jt",Jl. Masjid Al-Hoirot No.2 RT15/3 Jakarta,021-68756475,,,,
Suga Food Fried Chicken,Suga Food Indonesia,F&B,BO,20-99jt,Ruko Villa Nusa Indah 2 Blok S8 No.21 Bekasi,021-84990220,,,,
Pecel Pincuk Madiun Srimping,Pecel Pincuk Madiun Srimping,F&B,BO,20-30jt,Komp. Bulog Yanatera 14 No.28 Jatowarna Pondok Gede Bekasi,021-93846527,,,,
Mie Ayam Abadi Serpong,Mie Ayam Abadi Serpong,F&B,kemitraan,n/a,Jl. Raya Serpong No.5 Jakarta,021-5375935,,,,
Lebanese Kebab,Lebanese Kebab,F&B,BO,15-35jt,Jl. Gampit 1 Pondok Gede Jatiwaringin,021-84971542,,,,
Chubby Burger,PT Sacca Prima Axinsindo,F&B,BO,55jt,Jl. Ciawi II No.15 Kebayoran Baru Jakarta Selatan,021-7232873,,,,
TX Travel,PT Jakarta Express Utama,Travel,Franchise,Rp. 400jt,Komp. Ruko Atap Merah Blok D No.10-11 Jl. Pecenongan No.72 Jakarta,021-3809999,,,,
Martabak Mumbai,CV Boga Nusa Jaya,F&B,BO,9jt,Regency Kuda 2B-16 Jagit Wonokromo Surabaya,031-71618111,,,,
JMC Jamur Crispy,Focus Insan Mandiri,Produk olahan dan pembibitan jamur,Franchise,8jt,Perum Griya Pring Gading Permai Blok D3-4 Kembang Putihan Guwosari Pjangan Bantul Yogyakarta,0274-6686592,,,,
Sajadah Ceria,Sajadah Ceria,Sajadah/Kaos Baju Anak,Keagenan,Rp. 500rb,Pondok Manggala A2 No.16 Surabaya,031-7662030,,,,
Digikidz,PR Digikids Indonesia,Kursus Multimedia Computer Learning Center,Frachise/License,250-300jt,Ruko BSD Sektor IV Blok RD/69 BSD City Tangerang,021-5371163,,,,
Singkong Keju Katrocker,PT Karunia,Makanan,Franchise,10-20jt,Jl. Pahlawan No.8A Banjarmasin,0511-7640737,,,,
Iiuvitz Collection,IIuvitz Collection,Fashion & Craft,Kemitraan,Rp. 20jt,Jl.Palatehan Kidul No.18 RT 022/05 Kel.Patehan Kec.Kraton Yogyakarta 55133,0274-379072,,,,
Kebab Turki Baba Rafi,PT Babarafi Indonesia,Kebab,Franchise,55-105jt,Ruko Manyar Garden Regency Kav.29-30 Jl. Nginden Semolo 109 Surabaya,031-5999975,,,,
Kidea Children Education Center,Yayasan Kasih Kibar Kreasi Indonesia,Pendidikan,Franchise,125jt,Jl.Dewi Sartika No.294 Jakarta,021-8097788,,,,
Bale Bale,PT Balai Mitra Usaha,Textile,BO,Rp. 50jt,Jl.Jatiwaringin Raya No.9 Pangkalan Jati Jakarta,021-8696815/93811992,,,,
Indomaret,PT Indomarco Prismatama,Retail Minimarket,Franchise,300-350jt,Jl.Ancol 1 No.9-10 Ancol Barat Jakarta,021-6919710-12,,,,
Bakmi Alim Rayanya Mie Herbal,Bakmi Alim Rajanya Mie Herbal,F&B,Franchise,n/a,Vila Nusa Indah Blok T6 No.1 Bekasi,021-82400147,,,,
Gembinet,Gembinet,Internet Game Center,BO,30-350jt,Rukan Tanjung Mas Raya B1 No.39 Tanjung Barat Jakarta Selatan,021-78834405,,,,
Buana Burger,PT Chandra Buana Surya Semesta,Burger,BO,"3,5-7,5jt",Jl. Tipar Cakung KM 0.6 No.49 Jakarta,021-70709437,,,,
Ulir Kriuk Kentang Crispy Spiral,Ulir Kriuk Kentang Crispy Spiral,Makanan,Franchise,10jt,Serdan Asri 3 Blok R15 No.30 Citra Raya Tangerang,021-70506226,,,,
Red Grill,Pt Choice Plus Indonesia,F&B,Franchise,n/a,Jl. Nuri IV/2 Sambengan Manahan Solo,0271-714160,,,,
I Can Read,PT Bina Literasi Indonesia,Pendidikan,Franchise,300jt,Ruko Sentra Niaga Blok T2 No.15 Jakarta,021-55794630,,,,
Saqinah,Saqinah,Ritel Fashion,BO,Rp. 200jt,Jl.Duren Tiga Raya No.16 Jakarta,021-79176862,,,,
Bubur Bayi,PT Hasanah Media Educomindo,Makanan,BO,"5-7,5jt",Ciledug Indah Kota Tangerang Blok E29/17 Ciledug,021-7351186/70914588,,,,
House of Ristra,PT Ristra House,Klinik Kecantikan,Franhise,200jt-1M,Jl.Radio Dalam Raya No.5 Kebayoran Baru Jakarta Selatan,021-72786117/7395207,,,,
Mie Ayam Abadi Serpong,Mie Ayam Abadi Serpong,F&B,kemitraan,n/a,Jl. Raya Serpong No.5 Jakarta,021-5375935,,,,
Pastel Tasty,Pastel Tasty,F&B,BO,40-50jt,Jl. Karet Pasar Baru Barat VIII/10 Karet Tengsin Sudirman - Jakarta,021-70891972/021-70771972,,,,
Mahligai Samara,Mahligai Samara,F&B,BO,500jt,Jl. Pemuda IV RT 012 /03 No. 12 Rawamangun Jakarta,021-47867412,,,,
Galare Ice Cream,PT Asia Prima Internasional,Dessert Cafe,Franchise,400-700jt,Jl. Jembatan Tiga No.36 CH - Jakarta,021-6616377,,,,
Double Dipps,PT Sinar Harapan Abadi,F&B,BO,80-275jt,Business Park Kebon Jeruk Blok F1 No.6-7 Jl. Meruya Ilir No.88 Jakarta Barat,021-30067875-76,,,,
Mini Cafe Ellina Resto,CV Ellino Group,F&B,BO,55jt,Deni Kerto RT01/07 Saroharjo ngalik Sleman Jogyakarta,0274-7145900,,,,
Mr Pea,PT Gempita Muda Indonesia,F&B,Franchise,5jt,Jl. RM Kahfi 1 No.33 Ciganjur Jakarta 12630,021-27444555,,,,
Es Walikota,PT Masharindo Utama Mandiri,F&B,BO,"9,8-24jt",Jl. Grogol 01/05 Magelang Kaliwungu Selatan Kendal,024-70357858,,,,
Binus Center,PT Prima Cipta Nusantara,Pendidikan,Franchise,n/a,Jl.KH Syahdan No.20 Kemanggisan Palmerah Jakarta Barat,021-5345830/5322157,,,,
Aqualis Fabricare,Aqualis Fabricare,Laundry,Franchise,550-800jt,Jl.Tebet Raya No.11M Tebet Jakarta,021-7402525,,,,
King Auto Interior,PT Intimex INternasional,Automotive,Franchise,210-510jt,Jl.Jend Sudirman No.781-785 Bandung,022-6034288,,,,
Melia Laundry,PT Melia Pilar Utama,Laundry,Franchise,"39,5-140jt",Jl.Sengon No.1 Janti Yogyakarta,0274-7474413,,,,
Bebek Bengil,PT Tri Boga Bersama,Restaurant,Kemitraan,n/a,Jl. H. Agus Salim no.132 Menteng Jakarta,021-3918091/3917965,,,,
Java Steak,Nareswari Group,F&B,Franchise,30-60jt,Jl. Yogyakarta KM4 Merto Yudan Magelang,0293-5557681,,,,
Busana Muslim Attaqi,Busana Muslim Attaqi,Fashion Retail,Keagenan,"Rp. 1,5jt",Jl.Mulyosari Tengah 8 No.2ª Surabaya,031-60106556,,,,
Kue Mulut,Kue Mulut,Makanan kue,Franchise,10-18jt,Villa Melati Mas Regency Blok H3 No.1 Serpong Tangerang,n/a,,,,
Martabak Alim,Martabak Alim,F&B,Franchise,125jt,Villa Nusa Indah Blok T6 No.1 Bekasi,021-82400147,,,,
Jamur Crispy,CV HWK Media Utama,F&B,BO,5-7 jt,Kadin Bandung Bisnis Center Jl. Telaga Bodas 31 Bandung,022-91930550,,,,
De Boliva,PT Boliva,F&B,Franchise,100-600jt,Jl. Dharmahusada Utara I/6 Surabaya,031-5963202,,,,
Sushi Rock & Roll,CV Sri,F&B,BO,55jt,Jl. Penerbangan Blok C NO.9 Komp. Dept. Penerangan-Pesanggrahan Jakarta,021-7992407,,,,
Kedai Digital,CV Kedai Kreasi Digital,Digital Printing,BO,n/a,Jl.Gambir NO.6 Deresan Yogyakarta,0274-7480080,,,,
RPX,PT Antareja Prima Antaran,Jasa Kurir,BO,8jt,Gd. RPX Center Jl. Ciputat Raya kav 99 Pd. Pinang lt.7 Jakarta,021-75901800,,,,
Kebab Kings,Kebab Kings Group,F&B,BO,45-60jt,Pondok Maritim Indah Blok QQ No.15 Kebraon Surabaya,031-72377222,,,,
Black Canyon Coffee Indonesia,PT Boga Citra Cemerlang,Resto & Cafe,Franchise,"2,5 Milyar",Jl. Danau Bratan Raya No.12 Taman Griya Jimbaran Bali,0361-7807929,,,,
Panorama World,PT Tirta Putra Wisata,Tour & Travel,Franchise,Rp. 500jt,Panorama building 5th Floor Jl. Tomang raya No. 63 Jakarta,021-25565000,,,,
Dante Coffee,PT Kurnia Mitra Duta Sentosa,F&B,Franchise,n/a,Kawasan Bangunan Multiguna Blok D5 Jl. MH Thamrin Km7 Paku Alam Serpong Tangerang,021-5398003,,,,
Miracle Aesthatic Clinic,Miracle Aesthatic Clinic,Klinik Kecantikan,Franchise,n/a,Jl.MH Thamrin 40 Surabaya,031-5663939/5616668,,,,
Bakmi Orange,Bakmi Orange,F&B,Kemitraan,"Rp.7,5jt",Jl. Ciasem Ujung No.4 Depok Timur,0818-06700600,,,,
Ummi Klinlaundry & Dry Clean,CV Ummi Bizz Center,Laundry,BO,15jt,Jl. Pondok Kelapa 12 Blok F5 No.21 RT07/11 Jakarta,021-93710483,,,,
Soto Ayam Kampung Surabaya ’Jolali’,Soto Ayam Kampung Suraba ’Jolali’,F&B,BO,20-30jt,Komp. Bulog Jl. Yanatera 16 No.4 BEkasi,021-93846527,,,,
Anin Rumah Batik,Anin Ruma Batik,Pakaian,BO,2jt,Komplek Bojong Menteng B/300 Rawalumbu Bekasi,021-3908386,,,,
Body Protector,Body Protector,Produsen Jaket Motor,Kemitraan,n/a,Jl.Anggrek Garuda Blok D1 No.19 Kemanggisan Jakarta,021-70920005,,,,
IKKI Sushi,IKKI Group,F&B,BO,70jt,Taman Bougenville Estate Jl. Bouhinia III Blok F1/3 Caman Bekasi,021-8645865,,,,
Ice Berry,PT Izzati Kita Indonesia,Juice,Franchise,5jt,Perum Bojong Depok Baru II Blok CU No.3 Cibinong,021-8756041,,,,
Jamur Crunchy,Jamur Crunchy,F&B,BO,n/a,Keputih Tegal Timur No.42-44 Sukolilo Surabaya,031-71506482/0856-3285660,,,,
Viobrano,Viobrano,Pembuatan Logo & PErcetakan,Perorangan,250jt,Jl.Gunung Sahari Indah Y2I - Surabaya,031-767468,,,,
Softcase Laptop Icainu,Icainu,Kerajinan Usaha Aksesoris Komputer,BO,Rp. 5jt,Perumahan Barata Jl. Barata tama II No.143 Kec.Karang Tengah Kel.Ciledug Tangerang,0856-8555152/021-99552815,,,,
Campina Scoop Counter,PT Campina Ice Cream Industry,Ice Cream,BO,n/a,Jl. Raya Duri Kosambi No.12 Cengkareng Jakarta,021-5414141,,,,
Sanggar Kreativitas Bobo,PT Penerbitan Sarana Bobo,Pendidikan,Franchise,150jt,Ged. Gramedia Jl. Panjang No.8ª Kebon Jeruk Jakarta,021-5330170,,,,
Supermap,PT Master Centranusa Cemerlang,Jasa Pendidikan Learning Center,BO,100-300jt,Jl.Surya Kencana No.910 Pamulang Tangerang,021-7499203,,,,
Mr.B & Mr Burger,PT Gempita Indonesia Muda,F&B,Franchise,100jt-2M,Jl. RM Kahfi 1 No.33 Ciganjur Jakarta 12630,021-27444555,,,,
Moissani,PT Multi Gemma Lestari,Perhiasan,Licence,Rp. n/a,Puri Imperium LG 32 Jl. Kuningan Madya kav 5-6 Jakarta,021-83793398,,,,
Super Bimbel GSC,PT Gema Sukses Cemerlang,Bimbel,Franchise,350-400jt,Jl.R. Sukamto No.3150-3151 Palembang,0711-821514,,,,
3 to 6 Childhood Education Center,PT Inti Sari Langkah Positif,Pendidikan,Franchise,300-350jt,Jl.Raya Pasar Minggu No.39ª Jakarta Selatan,021-79192906,,,,
Lesehan Alam Sejuk,CV Imam Brothers,F&B,BO,n/a,Jl. Terusan Kapten Halim No.38 Jl. Raya Wanayasa Pondok Salam Purwakarta,0264-8223517,,,,
Tahu Ikan Tuna,K Food,F&B,BO,"2,5jt",Jl. Diponegoro No.12 Jetis Ponorogo Jawa Timur,0813-35668077,,,,
Ayam Bakar Mas Mono,PT Panen Raya Indonesia,Makanan,Franchise,500jt,JL. Cemara 3 no.4-5 Pangkalan Jati Pondok Labu – Jakarta,021-7660487,,,,
Nasi Bakar Ku Suka,CV Indo Nusantara,F&B,BO,7jt,Jl. Ki Hajar Dewantara 12D Jombang Jawa Timur,N/A,,,,
Sajadah Ceria,Sajadah Ceria,Sajadah/Kaos Baju Anak,Keagenan,Rp. 500rb,Pondok Manggala A2 No.16 Surabaya,031-7662030,,,,
Parpica Arena Bermain Keluarga,PT Adimas Tristar Abadi,Entertainment,BO,n/a,Pusat Grosir Cililitan (PGC-2) Lt.3A no.630 Jl. Mayjen Sutoyo no.76 Jakarta,021-30019800,,,,
Mie Hezo,RM Mie Tega Lega,F&B,Franchise,"6,5jt",Jl. Raya Barat No. 607-609 Cimahi Bandung,022-6632161,,,,
Digitallapan,PT Mampang 8 Cipta Karya,Souvenir Merchandise,BO,75jt,Jl.Mampang Prapatan VIII No.62 Jakarta Selatan,021-79182289,,,,
Cendol Gading,CV Gading Mas,F&B,BO,"2,5jt",H. Zein No.26 Rawamangun,021-47861268,,,,
Martabak House,Martabak House,Resto/Cafe,BO,150jt,Jl. Seturan (dpn SD Budi Mulya) Sleman Yogyakarta/Jl. Kusuma Wardani No.9-11 Semarang,0274-9237261/024-70117206,,,,
Bebek Goreng Mbah Wongso,CV Inti Cipta Pangan,F&B,Franchise,n/a,Jl. Solo KM4 Condong Catur Tunggal Depok - Yogjakarta,0274-486878,,,,
Balon Udara,Balon Udara Franchise Shop,F&B,Franchise,n/a,Jl. Dr Makaliwe I/9 grogol Jakarta Barat 11450,021-5636838,,,,
Internusa,Lembaga Pendidikan Internusa,Pendidikan Komputer,Lisensi,75-250jt,Jl.Waru Raya No.28 Rawamangun Jakarta,021-47882155,,,,
PRAXIS IQ,PT Praxis Indonesia,IT Training Center,BO,300-600jt,Menara Rafindo Lt.10 Jl. Kebon Sirih Kav 75,021-44306999/3909802,,,,
Brain Child Learning Indonesia,PT Brain Child Indonesia,Pendidikan,License,150-250jt,Jl. Tampak Siring Blok KJG No.12 Komplek Daan Mogot Baru,021-54372496,,,,
Aleyda Spa,PT FAW Activation Indonesia,Spa,Franchise,150jt,Jl.Cikatomas No.9 Jakarta,0817-179543,,,,
Bakso Keju,PT Bakso Keju Malang,F&B,Franchise,30-35jt,Jl.Lokon No.4 - Malang,0812-3239725,,,,
X-Fill Refill Center,PT X-Fill Indonesia,Tinta,BO,210jt,Komp. Griya Inti Sentosa Jl. Griya Agung No.2 Sunter Agung Jakarta,021-6401552,,,,
Wedang Wayang,CV Duta Kencana,F&B,Franchise,5jt,Jl. Soragan 106 Jogyakarta,0274-625082,,,,
Klinik Herbal,PT Mahkota Dewa,Herbal & Spa,BO,50jt,Jl.Gaharu AA1 Nyiur Melambai II Rawa Badak Utara KOja,021-4302762/43912313,,,,
Alfamart,PT Sumber Alfaria Trijaya,Retail Minimarket,Franchise,n/a,Jl.MH Thamrin No.9 Cikokol Tangerang,021-55755966,,,,
Martabak Mumbai,CV Boga Nusa Jaya,F&B,BO,9jt,Regency Kuda 2B-16 Jagit Wonokromo Surabaya,031-71618111,,,,
Soccer Ice Cream,PT Raja Asia Iboga,F&B,Lisensi,75-90jt,Gedung Talavera Lt.28 JL. TB Simatupang No.22-26 Jakarta 12430,021-75999927,,,,
Indo Waffle,UD Suka Cita,F&B,BO,250jt,Jl. Baru Teluk Buyung No.19 Bekasi,021-88962687,,,,
Ayam Goreng Mbok Berek Ny Umi,PT Weiling Simba Wulung,F&B,Franchise,400jt,Jl. Prof Dr. Sutomo SH.14 Jakarta,021-8312921,,,,
Bola Ubi Madoo,Bola Ubi Madoo,F&B,BO,15jt,Jl. A. Yani No.26 Tangerang,0812-81635500/021-83333455,,,,
Rangu,Rangu Quality Food,makanan,Franchise,5jt,Komp. Buana Jaya No.16 RT013/12 Jatimekar Kec. Jatiasih Bekasi,021-99296972,,,,
Tiramizzu,Tiramizzu,F&B,BO,2jt,Jl. Keputih Permai Blok 3B No.4 Sukolilo Surabaya,0838-98285781,,,,
Martabak Tela,Homy Group,F&B,Franchise,n/a,Jl. Bugisan 36 Jogyakarta,0274-7499911,,,,
Iwata Tours & Travel,PT Iwata Nusantara,Tour & Travel,Franchise,Rp. 380jt,Jl.Sultan Agung No.58 Delta Manggarai Jakarta,021-83700245,,,,
FOX,PT Putra Dwi Mukti,Penjualan Sepatu Hujan,BO,Rp. 30-50jt,Jl.Cikuputera 115A Bandung,022-2504666,,,,
Ester House of Beauty,Ester House of Beauty,Klinik Perawatan Kulit,Franchise,600jt-1M,Jl.WR Supratman 22 Surabaya,031-5618267/031-7343074,,,,
Same Same Clothing,Same Same Clothing,Distro,BO,Rp. 30jt,Jl.Banyak Endah No.17 Kota Baru Parahyangan Bandung,0818-809692/0818-208344,,,,
IEXP,Inter Expedisi,Business Service,Franchise,35jt,Gd. Perkantoran Pulomas I G2 Lt.3 Jl. A.Yani No.2 Jakarta,021-47869376,,,,
Spot Bordir Franchise,JPG Technology,n/a,BO,"12,5-200jt",Jl.Pondok Mas Raya Ruko No.12-28 Baros Cimahi Bandung,022-662986,,,,
Master Toner,PT Master Ssentra Nusa Cemerlang,Refill Tinta Toner & Service Komputer,Franchise,50-350jt,Jl.Surya Kencana No.9-10 Pamulang Tangerang Selatan Banten,n/a,,,,
