Nama Franchise,Modal Minimal,Kategori Franchise,Franchise Fee,Nama Perusahaan,Biaya Royalti,Berdiri Sejak,Biaya Advertising,Jumlah Gerai,Alamat,Contact Person,Nomor WA,Telepon,Fax,Email,Website
COOLIO BARBERSHOP,Rp 60.000.000,Lainnya,60 JUTA,CV.COOLIO INDONESIA ,10% sd 7% dari OMSET,2015.0,FREE,26.0,JL. GUBENG KERTAJAYA VII H / 6 SURABAYA ,TRIYAN ,+6285664210513  (Klik nomor untuk chat via WA),Hp : 087852800201 - 085664210513  ,- ,cooliohairmake@gmail.com,Klik : http://www.cooliobarbershop.co.id
Corner Kebab,Rp 40.000.000,Makanan & Minuman,,Corner Kebab Indonesia  ,,2007.0,,400.0,"Kantor Pusat : Ruko Ogie Plaza Blok A2-3, Jalan Siliwangi no.8 Pamulang Tangerang Selatan  Kantor Cabang Bandung : Ruko Pesona Cisaranten Indah No.1 Jalan Cisarranten Kulon, Arcamanik Bandung ",Corner Kebab ,+628123119071  (Klik nomor untuk chat via WA),0812 3119 071 0813 8888 6163 Telp : 021-7493969 , ,unix.ugpm@gmail.com,Klik : http://www.cornerkebabonline.com
COSCO (CHOISE OF CHOCOLATE),Rp 3.000.000,Makanan & Minuman,-,CV RATU ROSARI ,-,2015.0,-,70.0,"JL HASANUDIN 88, PASAR NANGKA, PUNGGAWAN, SOLO JAWA TENGAH ",0271 7892151 ,+6281370571857  (Klik nomor untuk chat via WA),0271 7892151 , ,cvraturosari@yahoo.com,-
Crepes Es Krimku,Rp 15.000.000,Makanan & Minuman,0,Fina Home Industri  ,0,2014.0,0,2.0,"Perumahan gading Mas no. 4, Junrejo, Kota Batu, Jawa Timur ",Fina Home Industry ,+6285706575973  (Klik nomor untuk chat via WA),0852 5797 1468 (Fina)  0857 0657 5973 (Ana) , ,fik_ram_si@yahoo.com,Klik : http://finahomeindustry.com
Criptos Crispy Potatoes,Rp 4.100.000,Makanan & Minuman,-,Criptos Crispy Potatoes ,-,,-,10.0,"Yogyakarta Jl. Raya Tajem No 15, 55593 ",Criptos Crispy Potatoes ,+628112821904  (Klik nomor untuk chat via WA),Hp : 0811 292 7935 Tlp: (0274)2834650 , ,criptos@mail.com,Klik : https://crispypotatoes.com/
Cuan Boba Indonesia,Rp 14.500.000,Makanan & Minuman,-,CV Ombe Indonesia ,-,2019.0,-,5.0,"Jln Dahlia F3, Perum Puri Gading, Grogol, Sukoharjo  ",Cuan Boba Indonesia ,+6285647000672  (Klik nomor untuk chat via WA),Hp : 085647000672 , ,cuanboba@gmail.com,Klik : http://www.cuanboba.com
Cup Q Go Ice Blend,Rp 5.000.000,Makanan & Minuman,0,PT. Intrafood Singabera Indonesia ,0,2020.0,0,10.0,"Jl. Arak-arak No.52, Dusun II, Telukan, Kec. Grogol, Kabupaten Sukoharjo, Jawa Tengah 57552 ",(0271) 641277 ,+6285877213296  (Klik nomor untuk chat via WA),(0271) 641 277 , ,capq2020@gmail.com,-
Curves Indonesia,Rp (Please Call),Kesehatan & Kecantikan,-,PT. Unity Brands Indonesia ,-,2018.0,-,8.0,Jl. Surya Sumantri No. 76 Lt.2 Bandung 40164 Jawa Barat Indonesia ,Yenni  ,+628112002787  (Klik nomor untuk chat via WA),Hp : +6281 1200 2787 : +6222 2027 1110 , ,investor@curvesindonesia.com,Klik : http://www.curvesindonesia.com
Cut Chicken,Rp 7.500.000,Makanan & Minuman,-,Cut Chicken ,-,2020.0,-,1.0,Jln ,Cut Chicken ,+6282150147766  (Klik nomor untuk chat via WA),+6282 1501 47766 , ,cutchicken99@yahoo.com,-
Daddys Takoyaki,Rp 18.000.000,Makanan & Minuman,-,Daddys Takoyaki ,-,2012.0,-,25.0,Jl. Jati Padang Rt 006/08 no.18 pasar minggu Jakarta selatan 12540 ,Muhamad Fadli azis ,+6281212764874  (Klik nomor untuk chat via WA),081212764874 (Whats App)   0812-1276-4874 (Telkomsel)  ,- ,daddystakoyaki@gmail.com,Klik : http://www.daddystakoyaki.com
Daging Warga,Rp 25.000.000,Makanan & Minuman,, ,,2020.0,,2.0,"Perumahan Taman Narogong Indah, Jalan Raya Taman Narogong Indah No.10, RT.007/RW.013, Bojong Rawalumbu, Bekasi Timur, Jawa Barat 17116, Indonesia ",Daging Warga ,+6282113140304  (Klik nomor untuk chat via WA),0821 1314 0304  IG : @daging.warga , ,dagingwarga@gmail.com,Klik : http://dagingwarga.com
Daily Fresh Water,Rp 340.000.000,Lainnya,,PT. Airku Sehat Segar Alami ,,2003.0,,56.0,Jl. Joglo Raya No. 5 (dekat kantor kelurahan Joglo) Joglo Kembangan - Jakarta Barat Indonesia ,Daily Fresh Water ,+628119920160  (Klik nomor untuk chat via WA),021 - 2254 - 1812  0811 9920 160  Franchise Marketing Maya :  0811 - 8380 - 307 0815 - 1312 - 2531 , ,mwb.claramaya@gmail.com,Klik : http://www.dailyfreshwater.com
Daily Loaf Bread,Rp 5.000.000,Makanan & Minuman,,Daily Loaf Bread ,,2018.0,,5.0,Jakarta ,Daily Loaf Bread ,+6281380010083  (Klik nomor untuk chat via WA),0813 800 100 83 , ,-,Klik : http://dailyloaf.id/
Dapoer Roti Bakar,Rp 200.000.000,Makanan & Minuman,-,Dapoer Roti Bakar ,-,2013.0,-,12.0,"Jalan Raya Pasar Minggu No.15C, Jakarta Selatan ",Dapoer Roti Bakar ,+6281905112239  (Klik nomor untuk chat via WA),Hp : 081905112239(Aditia)  Hp : 081574017495(Dhenny)  Hp : 081908688843(Irma) , ,dapoerrotibakar@gmail.com / warungpaparoti@gmail.com,Klik : http://rotibakar.id
Dapur Serundeng,Rp 58.000.000,Makanan & Minuman,, ,,2014.0,,7.0,"Jl. Duri Kosambi No. 17 Cengkareng, Jakarta Barat ",Dapur Serundeng ,+6285695232039  (Klik nomor untuk chat via WA),0856 9523 2039  0899 8218 106 (Anggun)  0811 83 53 83 (Andrew)  Office : 021-5458 927 , ,anggun.dapurserundeng@gmail.com,-
Dawetan,Rp 3.900.000,Makanan & Minuman,-,Dawetan Indonesia ,-,2020.0,-,1.0,"Jalan Merak RT 04 RW 22, Waringin Rejo, Cemani, Grogol, Sukoharjo, Jawa Tengah ",Dawetan ,+6282298344288  (Klik nomor untuk chat via WA),Hp : 082298344288  , ,dawetanofficial@gmail.com,Klik : http://dawetan.com
Dawet Aye,Rp 3.800.000,Makanan & Minuman,-,Dawet Aye Indonesia ,-,2020.0,-,1.0,"Jalan Merak RT 04 RW 22, Waringin Rejo, Cemani, Grogol, Sukoharjo, Jawa Tengah ",Dawet Aye  ,+6282298344277  (Klik nomor untuk chat via WA),Hp : 0822 9834 4277 , ,dawetayeofficial@gmail.com,Klik : http://dawetaye.com
Dawet Kemayu,Rp 7.900.000,Makanan & Minuman,-,PT. Najah Kuliner Nusantara ,-,2020.0,-,97.0,"Jl.Pandeyan, Gg. Empu Triguna, No. 807, Kel.Pandeyan, Kec. Umbulharjo. Yogyakarta ",Firdha Puteri Dinda ,+6282137576896  (Klik nomor untuk chat via WA),+62 821-3757-6896 (Firdha Puteri Dinda) , ,dawetkemayu.id@gmail.com,Klik : http://dawetkemayu.com
DAYCINNO,Rp 4.000.000,Makanan & Minuman,-,DAYCINNO COFFEE&CO ,-,2012.0,-,530.0,"NERADA ESTATE A10/ 15 CIPAYUNG, CIPUTAT, TANGERANG SELATAN, BANTEN INDONESIA ",Syukri Ahkam ,+6281510773275  (Klik nomor untuk chat via WA),081283923964  (021)74717858 ,- ,daycinno@yahoo.co.id,Klik : http://www.daycinno.com
D'Celup Tanglor,Rp 8.000.000,Makanan & Minuman,-,Master Kuliner Indonesia ,-,2019.0,-,28.0,"Jl. Lereng Indah No.81 RT 01 RW 12 Limo, Cinere, Sawangan, Depok, Jawa Barat ",D'Celup Tanglor ,+6285775753939  (Klik nomor untuk chat via WA),Marketing : 0822 4646 8383 0878 9898 8080  Master Kuliner Indonesia : 0878 4646 7373    , ,masterkuliner@gmail.com,Klik : https://dceluptanglor.com/
D'Cuan Drinks,Rp 12.000.000,Makanan & Minuman,Rp 11.950.000,D'Cuan Drinks ,-,2020.0,-,1.0,"Jalan Pulo Wonokromo No. 297i, Surabaya  ",D'Cuan Drinks ,+6281232460492  (Klik nomor untuk chat via WA),Hp : 0812 3246 0492 , ,dcuan.drink@gmail.com,-
Dear Sweet,Rp 55.000.000,Makanan & Minuman,-,Dear Sweet ,-,2016.0,-,10.0,"Surabaya, Jawa Timur ",Dear Sweet ,+6281804504600  (Klik nomor untuk chat via WA),0818 0450 4600 , ,-,-
Demi Kopi,Rp 65.800.000,Makanan & Minuman,-,PT. Rasa Prima Mitra Sentosa ,-,2020.0,-,8.0,"Apartment Sentra Timur Residence K11 TB, Cakung, Pulogebang, Jakarta Timur 13950 ",Demi Kopi ,+6287771575594  (Klik nomor untuk chat via WA),+62819 1888 8805  +62857 7361 0839 , ,rasaprimamitrasentosa.group@gmail.com,Klik : http://www.demikopicorp.com
DIGIKIDZ,Rp 300.000.000,Jasa Pendidikan & Pelatihan,Rp. 185.000.000/ Unit,PT. DIGIKIDZ INDONESIA ,12%/ Bulan,2001.0,-,11.0,"Ruko BSD Sektor IV Blok RD/69, BSD City, Tangerang Selatan. ",Rendy ,+6281808252213  (Klik nomor untuk chat via WA),021-5371 163 +62 818-0825-2213 , ,rendi@digikidz.id / steven.deverano@digikidz.id / henny.agustine@digikidz.id,Klik : http://www.digikidz.id
Dimsum Mbledos,Rp 9.000.000,Makanan & Minuman,-, ,-,2011.0,-,300.0,Jl. Kalijudan Mulia no 25 Surabaya ,Dimsum Mbledos ,+6282244820888  (Klik nomor untuk chat via WA),Hp : 082244820888(Saul) Hp : 082245833399(Ghea) Hp : 085337855557(Anisa) Tlp: (031)99923252 , ,info@dimsummbledos.com,Klik : http://www.dimsummbledos.com
Dimsum Resanba,Rp 6.500.000,Makanan & Minuman,-,CV. Muda Cipta Boga ,-,2018.0,-,10.0,"JL. PLERED, KEBON KOPI NO.59 RT.02 / RW.008 PENGASINAN, SAWANGAN, DEPOK - JAWA BARAT (16518) ",Dimsum Resanba ,+6282112226828  (Klik nomor untuk chat via WA),Hp : 0821 1222 6828 , ,dimsumresanba@gmail.com,Klik : http://dimsum-resanba.com/
Dimsum Salmon,Rp 8.750.000,Makanan & Minuman,,Dimsum Salmon ,,2019.0,,24.0,"Perum bali View, Kp. Ubud, Jl. Kintamani Raya Blok B7 No. 12 , Cirendeu Ciputat Timur Kota Tangerang Selatan. ",08118812120 ,+628118812120  (Klik nomor untuk chat via WA),08118812120  Informasi Kemitraan Call Center Pusat : 0811 8812 120 Call Center Bandung : 0812 2486 2209 , ,sgfoodinfo@gmail.com,-
Dino Express,Rp (Please Call),Business Services,,PT. Dino Logistic Perkasa ,,2010.0,,30.0,Jl. Agung Timur 4 Blok O1 No. 42 - 43 Sunter Jaya Jakarta Utara 14350 ,Dino Express ,+6281808861888  (Klik nomor untuk chat via WA),0818 0886 1888 021 651 7357 , ,cs@dinoexpress.id,Klik : http://www.dinoexpress.id
D'Kriuk Fried Chicken,Rp 21.500.000,Makanan & Minuman,,PT RAJA RASA KULINER ,,2016.0,,633.0,"Jl. Berkerilil RT 02/11 (Belakang PKU Muhammadiayh), Bubulak, Kec. Bogor Barat, Bogor, Jawa Barat 16115 ",D'Kriuk Fried Chicken ,+6282117833330  (Klik nomor untuk chat via WA),Marketing : 0821 1783 3330 , ,dkriukchicken@gmail.com,Klik : http://dkriuk.com
DOKAR (Donat Bakar),Rp 7.500.000,Makanan & Minuman,0,Kreasi Boga Mandiri ,0,2008.0,0,36.0,"Jl. Fajar Indah Utama Ruko no.7-6 perum Fajar Indah,Jajar, Laweyan, surakarta. ",Iwan Abu Shalih ,+628155509109  (Klik nomor untuk chat via WA),0815 550 9109  0813 3782 9120 , ,javadonat@gmail.com,Klik : http://donatbakar.com/
Dokter Mobil,Rp 1.500.000.000,Otomotif,Negotiable,PT Dokter Mobil Management Group ,Negotiable,2013.0,Negotiable,4.0,"Jalan Boulevard Raya Blok QJ1 No.17 Kelapa Gading, Jakarta Utara ",Roy Ivan Fidelis ,+6282211847983  (Klik nomor untuk chat via WA),0822 1184 7983  0878-8789-1999 , ,royivan.fidelis@gmail.com,Klik : http://doktermobil.com
D'ON Fried Chicken,Rp 7.800.000,Makanan & Minuman,,PT. Zanika Multirasa Sejahtera ,,2020.0,,13.0,Jl. Lontar Raya no.3 Tanjung Duren Utara - Jakarta Barat ,D'ON Fried Chicken ,+6281282008105  (Klik nomor untuk chat via WA),No. Telp Kantor : 021-5093 3132  No. Whatsapp : 0812 8200 8105  Telp Marketing Franchise : 0812 8200 8105 , ,d.on.friedchicken.info@gmail.com,Klik : http://d-onfriedchicken.com
Dons Burger & Coffee,Rp 200.000.000,Makanan & Minuman,Rp 135.000.000,PT Dons Bogatama ,4%,2007.0,,7.0,"Jl. Cipinang Muara No. 19, RT 02/RW 015 Jakarta TImur ",Syam Rudjaya ,+6281312121101  (Klik nomor untuk chat via WA),02129360808 , ,infokemitraan123@gmail.com,-
Donuthing by Baim Wong,Rp 29.000.000,Makanan & Minuman,,Idea Corp ,,2019.0,,11.0,"Jln. Kebon Raya No. 9 Duri Kepa, Kebon Jeruk, Jakarta Barat ",Donuthing ,+628119597770  (Klik nomor untuk chat via WA),Hp : 0813 1523 0719 0811 9597 770 0819 1978 8877  Tlp : (021) 5696 6030 , ,sekretarisidea@gmail.com,-
Doyan Ayam,Rp 12.600.000,Makanan & Minuman,-,CV. Semangat Wirausaha ,-,2016.0,-,100.0,Jl. Tandes Kidul 1 No.16 Surabaya-Jawa Timur ,Doyan Ayam ,+6283831065888  (Klik nomor untuk chat via WA),Hp : 0838 3106 5888 , ,doyanayamku@gmail.com,Klik : http://doyanayam.com
dressed Laundry,Rp (Please Call),Laundry & Jasa Kebersihan,-,PT Pro Teknologi ,5%,2009.0,none,5.0,"Jl. Senayan Utama Bintaro Blok HJ3 No.2, Sektor IX, Bintaro Jaya, Tangerang - Jakarta ",Dedi Setiadi ,+6281283066111  (Klik nomor untuk chat via WA),081283066111   , ,dedifam@yahoo.com,Klik : http://www.dressedlaundry.com
Drink Me!,Rp 5.000.000,Makanan & Minuman,3800000,Drink Me! ,-,2020.0,-,31.0,"Jalan. Brigjen Zein Hamid Gang Manggis Indah nomor 57 , Medan, Sumatera Utara ",Drink Me! ,+6282163540609  (Klik nomor untuk chat via WA),Hp : 0821 6354 0609 , ,drinkme.idn@gmail.com,Klik : http://Instagram @drinkme.idn
Dr. Shoes,Rp 35.000.000,Laundry & Jasa Kebersihan,Rp. 35.000.000 & Rp. 70.000.000,Dr. Shoes ,-,2016.0,-,3.0,"Jl. Selokan Mataram No. 94, Seturan, Depok, Sleman ",Dr. Shoes ,+6282133381778  (Klik nomor untuk chat via WA),Hp : 082133381778 , ,dr.shoes@mail.com,-
DUM Thai tea,Rp 9.000.000,Makanan & Minuman,,Nyoklat Management ,,2017.0,,5.0,"Jalan cocak 1 no. 4 Sambeng, Mangkubumen, Banjarsari, Surakarta 57139 ",Marketing ,+6281393229687  (Klik nomor untuk chat via WA),Kantor: 0813 9322 9687  invite BBM : DBBA49DA  Line : dumthaitea , ,dumthaitea@gmail.com,Klik : http://dumthaitea.com
Durian Melintir,Rp 0 (Free),Makanan & Minuman,-,Durian Melintir ,-,,-,76.0,"Pancoran, DKI Jakarta 12760, Indonesia ",Durian Melintir ,+6281394232232  (Klik nomor untuk chat via WA),Hp :081394232232 , ,durianmelintir@gmail.com,-
Dutch Kitchen,Rp 49.000.000,Makanan & Minuman,,Dutch Kitchen ,,2015.0,,3.0,Jalan tiang bendera 5 no 2A. Tambora Jakarta barat. ,Lucky ,+6287886642888  (Klik nomor untuk chat via WA),082366281088 , ,Laberindo.asia@gmail.com,-
DV beauty center,Rp 50.000.000,Kesehatan & Kecantikan,Rp 50.000.000,DV Beauty Center ,10%,2015.0,,3.0,Mall lokasari square Lt dasar FNB 09A Jakarta barat ,DV Beauty Center ,+6282299997168  (Klik nomor untuk chat via WA),Kantor : (021) 626 3996 Hp : 0812 2323 1818 , ,dvbeautycenter@gmail.com,Klik : http://www.dvbeautycenter.com
Eastons Indonesia,Rp (Please Call),"Furniture, Konstruksi, Properti",,Eastons Indonesia ,,,,16.0,Ruko Centro Metro Broadway Blok A 28 Pantai Indah Kapuk Jakarta 14460 ,Eastons Indonesia ,+6287776070217  (Klik nomor untuk chat via WA),Hp : 08777 6070 217 Tlp: (021) 300 10 499 , ,admin@eastons.co.id,Klik : http://eastons.co.id/
Easy English Center (EEC),Rp 5.000.000,Jasa Pendidikan & Pelatihan,,Easy English Center ,,2000.0,,15.0,Jln. Utan Panjang 2 No. 103 Kemayoran Jakarta Pusat ,EEC Hotline ,+6281210799334  (Klik nomor untuk chat via WA),Sudirman (Owner) : 021-92893859 / 081210799334   Abay : 021-32231045 , ,sudirmanalifgani@yahoo.com,Klik : http://www.easyenglishindonesia.com
Easy Pizza,Rp 27.500.000,Makanan & Minuman,-,cv easy food mandiri ,-,2011.0,-,6.0,darmo permai utara I/1 ,Easy Pizza ,+6287779999802  (Klik nomor untuk chat via WA),Hp : 087779999802 , ,easypizzasurabaya@gmail.com,-
Eden Farm,Rp (Please Call),Lainnya,-,PT. Eden Pangan Indonesia ,-,2017.0,-,1.0,"Lippo St. Moritz Tower Tower #09-02 Jl. Puri Raya Blok U1, Puri Indah, Jakarta Barat 11620 ",Eden Farm ,082113148385  (Klik nomor untuk chat via WA),Hp : 0821 1314 8385  Hp : 0811 1595 537 (Marketing) , ,info@edenfarm.id,Klik : http://edenfarm_id
Eito Japanese Curry,Rp 200.000.000,Makanan & Minuman,Rp 100.000.000,Eito Japanese Curry ,3%,2019.0,Rp 1.000.000,7.0,"Ruko Scientia Residences No.61 Gading Serpong, Tangerang ",Matthew Sinarto ,+628785616274  (Klik nomor untuk chat via WA),08170928085 , ,eitojapanesecurry@gmail.com,-
Ella Skincare,Rp 3.000.000,Kesehatan & Kecantikan,3.000.000,PT. Ella Karunia Estetika ,16%,2018.0,10.000.000,19.0,Jl. Bungur 5 No.14 B Punggawan Banjarsari Surakarta ,Yudith ,+6282223941127  (Klik nomor untuk chat via WA),0271731686 , ,alby@ellaskincare.co.id,Klik : https://www.ellaskincare.co.id/reseller
El n' Bread,Rp 500.000,Makanan & Minuman,-,Elcorps ,-,2016.0,-,5.0,"ELCORPS BUILDING Komp.Industri Prapanca Holis no. 24, Bandung, Jawa Barat ",El n' Bread ,+6281220720002  (Klik nomor untuk chat via WA),0812 2072 0002 , ,-,Klik : https://www.elnbread.id
eMAM Express,Rp 300.000.000,Laundry & Jasa Kebersihan,Rp 75.000.000,PT. Rejeki Tiap Hari ,Free 1 tahun pertama,2009.0,,,"Jl. Malaka Raya No.160, RT.1/RW.6, Malaka Sari, Kec. Duren Sawit, Jakarta Timur. ",eMAM Express ,+6281807969999  (Klik nomor untuk chat via WA),0818 0796 9999 , ,-,Klik : http://franchiselaundry.id/
EMPAL GENTONG MANG DARMA ASLI,Rp 25.000.000,Makanan & Minuman,50 % dari investasi awal per 2 tahun,CV MULTI BISNIS INDONESIA ,-,2013.0,-,5.0,JALAN INSPEKSI NO 007 KOTA CIREBON ,EMPAL GENTONG MANG DARMA ASLI ,+6281281138556  (Klik nomor untuk chat via WA),Hp : 0812 8113 8556  Hp : 0813 2200 5008 (Marketing)    , ,empalmangdarmaofficial@gmail.com,Klik : http://www.empalmangdarma.com
Enak!,Rp 120.000.000,Makanan & Minuman,-,Enak! ,-,2016.0,-,5.0,"Jalan Parapat C7 No.6 Jaticempaka, Pondok Gede, Bekasi, Jawa Barat ",Enak! ,+6282123208202  (Klik nomor untuk chat via WA),0812 9250 6062 0821 2320 8202 , ,enakindonesia@gmail.com,Klik : https://enakindonesia.com
Endogmu,Rp 3.900.000,Makanan & Minuman,,Endogmu ,,2018.0,,28.0,Jl Singasari Selatan 1 Rt 05 Rw 04 Tegal Mulyo Nusukan Surakarta 57135 ,Endogmu ,+6282138966847  (Klik nomor untuk chat via WA),0821-38966-847 , ,endogmu.solo@gmail.com,-
English Study Centre,Rp 50.000.000,Jasa Pendidikan & Pelatihan,,PT. Edukasi Studi Center ,10 % dari Omset per bulan,1980.0,,4.0,"Jl. Laut Arafuru No.6-Terusan Cipto, Komplek TNI Angkatan Laut , Rt. 5 Rw. 9 Kelurahan Pekiringan Kecamatan Kesambi, Kota Cirebon ",Ibu Jessica Amanda Susanto ,+62895807079000  (Klik nomor untuk chat via WA),0231 - 202725 , ,esccirebonofficial@gmail.com,-
Enspire School Of Digital Art (ESDA),Rp 150.000.000,Jasa Pendidikan & Pelatihan,Rp 70 jt/5 tahun, ,,2013.0,,48.0,"Apt Royal Mediterania Garden Residence, Tower Lavender lt 2 Jakarta, Indonesia 11470 ",ESDA ,+6281908880911  (Klik nomor untuk chat via WA),021 29336025 0819 0888 0911 , ,info@esda.co.id,Klik : http://esda.co.id
eS !,Rp 6.500.000,Makanan & Minuman,-,kampoengan ,-,2019.0,-,2.0,jl boulevard deltamas ruko notredame F11 ,Yohanes ,+6281290905600  (Klik nomor untuk chat via WA),081290905600 , ,abednegokosasih@hotmail.com,-
Es Teh Indonesia,Rp (Please Call),Makanan & Minuman,-, ,-,2018.0,-,1.0,indonesia ,Es Teh Indonesia ,+628127731744  (Klik nomor untuk chat via WA),Hp : 0812 7731 744 , ,estehindonesia@yahoo.com,-
Es Teler Kapten,Rp 56.000.000,Makanan & Minuman,-, ,-,2012.0,-,90.0,"Jl. Jembatan Merah IV No. 251, Cepit Baru, Gejayan Yogyakarta ",Es Teler Kapten ,+6281328446185  (Klik nomor untuk chat via WA),Hp / WA : 0813 2844 6185 , ,baksokampungqu@gmail.com,-
Exotic Chicken,Rp 5.000.000,Makanan & Minuman,-,Exotic Chicken ,-,2020.0,-,1.0,"Jl. Guntur 6 B4 No.4 Kayuringin Jaya, Bekasi Selatan ",Exotic Chicken ,+6281283990951  (Klik nomor untuk chat via WA),Hp : 0812 8399 0951 , ,arif.318i@gmail.com,-
Eye Level,Rp 180.000.000,Jasa Pendidikan & Pelatihan,"Rp. 60.000.000,- (hanya 1 kali)",PT. Daekyo Indonesia ,30 - 40 %,2006.0,,80.0,"Eye Level Permata Hijau. Ruko Grand ITC Permata Hijau, Blok Ruby No. 5 - Jalan Supeno, Jakarta 12210.  ",Eye Level ,+6281318424199  (Klik nomor untuk chat via WA),021-5366 3388 , ,cc.did@myeyelevel.com,Klik : http://eyelevelfranchise.com
Fafa Cheese,Rp 85.000.000,Makanan & Minuman,-,Fafa Cheese ,-,2016.0,-,9.0,"Hotel Nirvana Inn 2 Jl Jembatan Merah 104, Sleman, Yogyakarta ",Hasna ,+6281250682998  (Klik nomor untuk chat via WA),+62812 3646 0464  0812 5068 2998  , ,-,-
Family Toys,Rp 20.000.000,Anak & Balita,-,Family Toys ,-,2013.0,-,5.0,Griya Pipit B8/36 Pondok Kacang Timur Tangerang Selatan ,08979193414 ,+628979193414  (Klik nomor untuk chat via WA),08979193414 , ,yudha.s.teh@gmail.com,Klik : http://familytoysgroup.com
Fat Brother,Rp 15.000.000,Makanan & Minuman,Rp 5.999.000,CV. Andromeda Prima Lestari ,-,2015.0,-,21.0,Perumahan Riverside F8 no.18 Malang ,Fat Brother ,+6282131622999  (Klik nomor untuk chat via WA),Hp : 0821 3162 2999 , ,laras.yohanalarasati@yahoo.com,Klik : http://fatbrother.weebly.com
Faveto Chocolato,Rp 6.000.000,Makanan & Minuman,0,FAVETO ,0,2015.0,0,96.0,JL. GROGOLAN NO 45 KETELAN SOLO 57132 ,Tarima Handayani ,+6281567777699  (Klik nomor untuk chat via WA),0815 6777 7699  0812 3197 6969 , ,faveto.chocolato@gmail.com,-
FI Barbershop,Rp 300.000.000,Kesehatan & Kecantikan,-,PT Gaya Baru Retailindo ,-,2016.0,-,30.0,"Infiniti Office, Permata Regency D/37, Kembangan, Jakarta Barat 11630 ",Elvina ,+6287876820818  (Klik nomor untuk chat via WA),Hp : 0878 7682 0818  , ,elvina.tineke@gmail.com,-
Fika Kedai Kafi,Rp 60.000.000,Makanan & Minuman,-,Sour Sally Group ,-,2008.0,-,22.0,"Jl. H. Arsyad No.37, RT.2/RW.7, Grogol Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12210, Indonesia ",Fika Kedai Kafi ,+6287885592238  (Klik nomor untuk chat via WA),Hp : 0878 8559 2238 , ,fikakedai@mail.com,-
Fill-Eat Chicken,Rp 35.000.000,Makanan & Minuman,, ,,2020.0,,80.0,"Jl warung buah kav 66b, jati asih, bekasi, jawa barat ",Fill.Eat Chicken ,+628983417188  (Klik nomor untuk chat via WA),GALANG : 0898 3417 188(marketing) , ,perdana.alvian@gmail.com,Klik : http://Filleat-chicken.com
FIRST CLASS CARPET,Rp 65.000.000,Otomotif,,Makko Group ,,2017.0,,30.0,"Jl Raya Telesonik No. 10 Pergudangan Surya Kadu Blok H No. 9 Kel. Kadu Kec. Curug, Tangerang ",FIRST CLASS CARPET ,+62812880090  (Klik nomor untuk chat via WA),021 2943 8375  0812 880 090 , ,firstclass@gmail.com,Klik : http://firstclass-carpet.com
First Klass Window Film,Rp 50.000.000,Otomotif,-,Makko Group ,-,2017.0,-,15.0,"Pergudangan Surya Kadu, Blok H No.9 Kel. Kadu, Kec. Curug ",First Klass Window Film ,+628128800090  (Klik nomor untuk chat via WA),Hp : 0812 8800 090 , ,firstklass@mail.com,Klik : http://firstklass-windowfilm.com
Fishfull,Rp 7.700.000,Makanan & Minuman,, ,,2020.0,,22.0,"Foodcourt kedai lestari, Jl. Genteng Ijo No.19, RT.16/RW.7, Kuningan, Karet Kuningan, Setia Budi, Kota Jakarta Selatan  ",081311211533 ,+6281311211533  (Klik nomor untuk chat via WA),0813 1121 1533 , ,fishfull.id@gmail.com,-
Foodpedia By Pasta Kangen,Rp 182.000.000,Makanan & Minuman,-,PT. Sukses Jaya Indotama ,-,2015.0,-,6.0,"Jl. Gereja Ayam No.11, Ps. Baru, Jakarta, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440 ",Foodpedia By Pasta Kangen ,+628176011797  (Klik nomor untuk chat via WA),0817 601 1797 (Viky) , ,viky27.sji@gmail.com,Klik : https://foodpedia.id/
Forty Eight Ice Blend,Rp 6.200.000,Makanan & Minuman,-,Forty Eight Ice Blend ,-,2011.0,-,152.0,"Jl. Hasanudin No. 53, Badran, Laweyan, Surakarta 57142 ",Marketing Raffi ,+6281328999639  (Klik nomor untuk chat via WA),081328999639 (Pulau Jawa) BBM : 5FD5EB65 (jawa) BBM : 5F8C29BB (luar jawa)  ,- ,forty.eight48@yahoo.co.id,Klik : http://www.48iceblend.com
Fremilt Thai Tea,Rp 9.500.000,Makanan & Minuman,Tidak ada,Fremilt Thai Tea ,Tidak ada,2015.0,Tidak ada,90.0,Jl. S. Parman 66 - Solo Baru - Sukoharjo  ,Fremilt Thai Tea ,+628122972262  (Klik nomor untuk chat via WA),0812 2972 262 , ,Fremilt.thaitea@gmail.com,Klik : http://www.fremilt.com
Freshasan,Rp 17.000.000,Makanan & Minuman,0,Freshasan ,0,2012.0,0,35.0,"Jl. Banjarsari Selatan no 11 tembalang, Semarang  ",Freshasan ,+6287700222181  (Klik nomor untuk chat via WA),087700222181 , ,freshasanindonesia@gmail.com,Klik : http://www.instagram.com/freshhasan_indonesia
Freshy Ice Tea,Rp 3.500.000,Makanan & Minuman,-,Freshy Ice Tea Indonesia ,-,2019.0,-,45.0,Jalan Merak RT 04 RW 22 Waringin Rejo Cemani Grogol Sukoharjo Jawa Tengah ,Freshy Ice Tea ,+6285352887575  (Klik nomor untuk chat via WA),Hp : 085352887575 , ,iceteafreshy@gmail.com,Klik : http://freshyicetea.com
